issue,waiver_id,company,url,class,reason,text_len
2023-11-03,107W-2023-02725,"ReadyMonitor, LLC",https://www.faa.gov/sites/faa.gov/files/107W-2023-02725_Jesse_Stepler_CoW.pdf,non_geo,multi[-\s]?location; non[-\s]?geo,14149
2025-04-23,107W-2025-00848-Heath-McLemore-CoW,Florida Power & Light Company,https://www.faa.gov/sites/faa.gov/files/107W-2025-00848-Heath-McLemore-CoW.pdf,non_geo,nationwide,17027
2025-05-07,107W-2025-00857-Heath-McLemore-CoW,Florida Power & Light Company,https://www.faa.gov/sites/faa.gov/files/107W-2025-00857-Heath-McLemore-CoW.pdf,non_geo,nationwide,13920
2022-02-08,107W-2022-00025,Christopher Duncan,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00025_Christopher_Duncan_CoW.pdf,geo_single,singular location limitation phrase,13793
2022-04-04,107W-2022-00214,Massachusetts Dept of Transportation - Aeronautics Division UAS,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00214_Jeffrey_DeCarlo_CoW.pdf,geo_single,singular location limitation phrase,14197
2022-04-07,107W-2022-00254,Unmanned Safety Institute,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00254_Devin_Allen_CoW.pdf,geo_single,singular location limitation phrase,13854
2022-04-13,107W-2022-00133,Treeswift,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00133_Ian_Cameron_CoW.pdf,exclude,no explicit phrase match,13849
2022-04-20,107W-2022-00623,Northern Plains UAS Test Site,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00623_Erin_Roesler_CoW.pdf,geo_single,singular location limitation phrase,13840
2022-05-03,107W-2022-00219,SkyBridge Tactical,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00219_Bryan_Andrews_CoW.pdf,geo_single,singular location limitation phrase,13837
2022-05-10,107W-2022-00350,Asylon,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00350_Brent_McLaughlin_CoW.pdf,non_geo,operations conducted under this waiver are limited to the locations described in the waiver application; limited to the locations described in the waiver application,20318
2022-05-13,107W-2022-00607,New Jersey Transit Corporation,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00607_Andrew_Schwartz_CoW.pdf,geo_single,singular location limitation phrase,13849
2022-05-24,107W-2022-00538,"Delek US Holdings, Inc.",https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00538_Grigor_Bambekov_CoW.pdf,exclude,no explicit phrase match,16652
2022-05-24,107W-2022-00539,"Delek US Holdings, Inc.",https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00539_Grigor_Bambekov_CoW.pdf,exclude,no explicit phrase match,16651
2022-07-01,107W-2022-01172,42air,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01172_Russell_Randol_CoW.pdf,geo_single,singular location limitation phrase,16686
2022-07-01,107W-2022-01204,Kansas State University,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01204_Spencer_Schrader_CoW.pdf,geo_single,singular location limitation phrase,16535
2022-07-07,107W-2022-01103,American Water,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01103_Christopher_Kahn_CoW.pdf,geo_single,singular location limitation phrase,16429
2022-07-18,107W-2022-00970,Asylon,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00970_Brent_McLaughlin_CoW.pdf,geo_single,singular location limitation phrase,17732
2022-07-18,107W-2022-01031,Evergy,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01031_Michael_Kelly_CoW.pdf,geo_single,singular location limitation phrase,16491
2022-07-18,107W-2022-01129,Thomas Walls,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01129_Thomas_Walls_CoW.pdf,geo_single,singular location limitation phrase,16473
2022-07-18,107W-2022-01194,Weather Modification LLC,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01194_Alex_Sailsbury_CoW.pdf,geo_single,singular location limitation phrase,16731
2022-07-19,107W-2022-01284,Davey Resource Group,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01284_Rachel_Miller_CoW.pdf,non_geo,operations conducted under this waiver are limited to the locations described in the waiver application; limited to the locations described in the waiver application,16480
2022-07-29,107W-2022-01308,Valmont,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01308_Joseph_George_CoW.pdf,exclude,no explicit phrase match,52424
2022-08-12,107W-2022-01705,The MITRE Corporation,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01705_Carrie_Rebhuhn_CoW.pdf,geo_single,singular location limitation phrase,17279
2022-09-01,107W-2022-01798,Soaring Eagle Technologies,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01798_Noah_Ruiz_CoW.pdf,geo_single,singular location limitation phrase,16465
2022-09-06,107W-2022-01785,Southern Company Services INC,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01785_Johnathan_Hitchcock_CoW.pdf,geo_single,singular location limitation phrase,16559
2022-09-14,107W-2022-01839,"Alliance Engineering + Planning, LLC",https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01839_Robert_Wilhite_CoW.pdf,geo_single,singular location limitation phrase,16765
2022-09-22,107W-2022-01841,Valmont,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01841_Joseph_George_CoW.pdf,geo_single,singular location limitation phrase,16570
2022-10-17,107W-2022-01952,Koch Industries Inc,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01952_Tim_Shanfelt_CoW.pdf,geo_single,singular location limitation phrase,13972
2022-10-19,107W-2022-01953,Koch Industries Inc,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-01953_Tim_Shanfelt_CoW.pdf,geo_single,singular location limitation phrase,13972
2022-10-20,107W-2022-01958,Skydio Inc.,https://www.faa.gov/sites/faa.gov/files/107W-2022-01958_Nicole_Bonk_CoW.pdf,geo_single,singular location limitation phrase,16716
2022-10-25,107W-2022-02032,Electric Power Board of Chattanooga,https://www.faa.gov/sites/faa.gov/files/107W-2022-02032_Gregory_Phillips_CoW.pdf,geo_single,singular location limitation phrase,16567
2022-10-26,107W-2022-02126,AviSight,https://www.faa.gov/sites/faa.gov/files/107W-2022-02126_William_Odonnell_CoW.pdf,geo_single,singular location limitation phrase,14050
2022-10-27,107W-2022-02234,Pacific Gas and Electric,https://www.faa.gov/sites/faa.gov/files/107W-2022-02234_Kellen_Kirk_CoW.pdf,geo_single,singular location limitation phrase,16628
2022-11-01,107W-2022-02235,Pacific Gas and Electric,https://www.faa.gov/sites/faa.gov/files/107W-2022-02235_Kellen_Kirk_CoW.pdf,geo_single,singular location limitation phrase,16572
2022-11-03,107W-2022-02312,Asylon,https://www.faa.gov/sites/faa.gov/files/107W-2022-02312_Brent_McLaughlin_CoW.pdf,geo_single,singular location limitation phrase,17390
2022-11-17,107W-2022-02062,Thomas Swoyer,https://www.faa.gov/sites/faa.gov/files/107W-2022-02062_Thomas_Swoyer_CoW.pdf,geo_single,singular location limitation phrase,16748
2022-12-14,107W-2022-00386,InDro Robotics Inc.,https://www.faa.gov/sites/faa.gov/files/107W-2022-00386_Philip_Reece_CoW.pdf,non_geo,operations conducted under this waiver are limited to the locations described in the waiver application; limited to the locations described in the waiver application,16575
