issue_date,waiver_id,company,pdf_url,class,hits,has_single,extract_status,text_len
2022-02-08,107W-2022-00025,Christopher Duncan,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00025_Christopher_Duncan_CoW.pdf,geo_single,,True,ok,13793
2022-02-16,107W-2022-00256,Iris Automation,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00256_Cheryl_Contreras_CoW.pdf,geo_single,,True,ok,14975
2022-03-25,107W-2022-00359,Zipline (Delivery Ops),https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00359_Joseph_Marshall_CoW.pdf,exclude,,False,ok,18810
2022-03-29,107W-2022-00323,Iris Automation,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00323_Cheryl_Contreras_CoW.pdf,geo_single,,True,ok,12117
2022-04-04,107W-2022-00214,Massachusetts Dept of Transportation - Aeronautics Division UAS,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00214_Jeffrey_DeCarlo_CoW.pdf,geo_single,,True,ok,14197
2022-04-07,107W-2022-00254,Unmanned Safety Institute,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00254_Devin_Allen_CoW.pdf,geo_single,,True,ok,13854
2022-04-12,107W-2022-00078,Jason Beim,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00078_Jason_Beim_CoW.pdf,exclude,,False,ok,18648
2022-04-13,107W-2022-00133,Treeswift,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00133_Ian_Cameron_CoW.pdf,exclude,,False,ok,13849
2022-04-20,107W-2022-00623,Northern Plains UAS Test Site,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00623_Erin_Roesler_CoW.pdf,geo_single,,True,ok,13840
2022-05-03,107W-2022-00219,SkyBridge Tactical,https://www.faa.gov/sites/faa.gov/files/faa_migrate/part-107-waiver/media/107W-2022-00219_Bryan_Andrews_CoW.pdf,geo_single,,True,ok,13837
