issue_date,expiration_date,waiver_id,company,responsible,regulation,confidence,phrase_hits,notes,pdf_url
2024-01-18,2028-01-31,107W-2023-03430,The Ohio Department of Transportation,Daniel Kammer (pdf),"107.31, 107.33(b)(c)(2), 107.39, 107.145",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2023-03430_Daniel_Kammer_CoW.pdf
2024-10-07,2028-10-31,107W-2024-03793,Datapoint,Michael Wight (pdf),"107.31, 107.33(b)&(c)(2), 107.39, 107.145",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2024-03793%20Michael%20Wight%20-%20CoW.pdf
2024-10-16,2028-10-31,107W-2024-02474,Valentine Brand,Robert Valentine (pdf),"107.31, 107.33(b)&(c)(2), 107.39, 107.145",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2024-02474%20Robert%20Valentine%20-%20CoW.pdf
2024-12-02,2028-12-31,107W-2024-02949,Liberty University,Brayden Johnson (pdf),"107.31, 107.33(b) & (c)(2), 107.39, 107.51(c), 107.51(d), 107.145",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2024-02949%20Brayden%20Johnson%20-%20CoW.pdf
2025-01-06,2028-07-31,107W-2024-04638,Flagler County BOCC,Seth Cribben (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2024-04638%20Seth%20Cribben%20-%20CoW.pdf
2025-01-17,2027-10-31,107W-2025-00033,Matternet,Alexander Norman-Elvenich (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-00033%20Alexander%20Norman-Elvenich%20-%20CoW.pdf
2025-01-29,2028-11-30,107W-2024-04472,Chris Mullins,Chris Mullins (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2024-04472%20Chris%20Mullins%20-%20CoW.pdf
2025-03-04,2029-03-31,107W-2025-00071,American Electric Power,Randy Lowe (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-00071%20Randy%20Lowe%20-%20CoW.pdf
2025-04-21,2029-04-30,107W-2025-00552,ERAU UAS-S Research,Nickolas Macchiarella (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-00552%20Nickolas%20Macchiarella%20-%20CoW.pdf
2025-05-20,2029-05-31,107W-2025-00979-Devin-Allen-CoW,Unmanned Safety Institute,Devin Allen (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-00979-Devin-Allen-CoW.pdf
2025-07-10,2028-06-30,107W-2025-02337-Matthew-Rybar-CoW,Unmanned Vehicle Technologies,Matthew Rybar (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-02337-Matthew-Rybar-CoW.pdf
2025-08-07,2028-04-30,107W-2025-02810-Andrew-Regnier-CoW,Great River Energy,Andrew Regnier (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-02810-Andrew-Regnier-CoW.pdf
2025-08-13,2029-04-30,107W-2025-02662-Roy-Dove-CoW,Dove Aerial Services LLC,Roy Dove (pdf),"107.145, 107.31, 107.33, 107.35, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-02662-Roy-Dove-CoW.pdf
2025-08-20,2029-08-31,107W-2025-02267-Reggie-Wycoff-CoW,Shell Pipeline Company,Reggie Wycoff (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-02267-Reggie-Wycoff-CoW.pdf
2025-08-27,2028-05-31,107W-2025-02902-Alexander-Norman-Elvenich-CoW,Matternet,Alexander Norman-Elvenich (pdf),"107.145, 107.31, 107.33, 107.35, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-02902-Alexander-Norman-Elvenich-CoW.pdf
2025-09-02,2029-09-30,107W-2025-01254-Chris-Jackman-CoW,Wing,Chris Jackman (pdf),"107.145, 107.31, 107.33, 107.35, 107.39, 107.51(c), 107.51(d)",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-01254-Chris-Jackman-CoW.pdf
2025-09-30,2029-09-30,107W-2025-02943-Matthew-Sargeant-CoW,Avol Inc.,Matthew Sargeant (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-02943-Matthew-Sargeant-CoW.pdf
2025-10-22,2029-10-31,107W-2025-03230-Nick-Lasko-CoW,Avista Utilities,Nick Lasko (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-03230-Nick-Lasko-CoW.pdf
2025-10-22,2029-10-31,107W-2025-03283-Randall-Langton-CoW,LuluPepper Media LLC,Randall Langton (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-03283-Randall-Langton-CoW.pdf
2025-12-09,2029-12-31,107W-2025-03930-Anthony-Sam-CoW,Anthony Sam,Anthony Sam (pdf),"107.145, 107.31, 107.33, 107.39",Medium,,includes 107.33; includes 107.145; >=2.5y duration,https://www.faa.gov/sites/faa.gov/files/107W-2025-03930-Anthony-Sam-CoW.pdf
